保险欺诈变量含义对照表
字段	说明
policy_id	保险编号
age	年龄
customer_months	成为客户的时长，以月为单位
policy_bind_date	保险绑定日期
policy_state	上保险所在地区
policy_csl	合并单项限额Combined Single Limit（不同项目适用于同一个限额）
policy_deductable	保险扣除额
policy_annual_premium	每年的保费
umbrella_limit	保险责任上限
insured_zip	被保人邮编
insured_sex	被保人性别：FEMALE或者MALE
insured_education_level	被保人学历
insured_occupation	被保人职业
insured_hobbies	被保人兴趣爱好
insured_relationship	被保人关系
capital-gains	资本收益
capital-loss	资本损失
incident_date	出险日期
incident_type	出险类型
collision_type	碰撞类型
incident_severity	事故严重程度
authorities_contacted	联系了当地的哪个机构
incident_state	出事所在的省份
incident_city	出事所在的城市
incident_location     出事所在的位置
incident_hour_of_the_day	出事所在的小时（一天24小时的哪个时间）
number_of_vehicles_involved	涉及的车辆数
property_damage	是否有财产损失
bodily_injuries	身体伤害
witnesses	目击证人
police_report_available	是否有警察记录的报告
total_claim_amount	整体索赔金额
injury_claim	伤害索赔金额
property_claim	财产索赔金额
vehicle_claim	汽车索赔金额
auto_make	汽车品牌，比如Audi, BMW, Toyota, Volkswagen
auto_model	汽车型号，比如A3,X5,Camry,Passat等
auto_year	汽车购买的年份
fraud	是否欺诈，1或者0
